legajo;concepto;fecha;cant
1623631;9001;07/02/2020;1
1623631;9001;08/02/2020;1
1623631;9001;09/02/2020;1
1623631;9001;10/02/2020;1
1623631;9001;11/02/2020;1
1623631;9001;12/02/2020;1
1623631;9001;13/02/2020;1
1623631;9001;14/02/2020;1
1623631;9001;15/02/2020;1
1623631;9001;16/02/2020;1
1759207;9002;07/02/2020;1
1759207;9002;08/02/2020;1
1759207;9002;09/02/2020;1
1759207;9002;10/02/2020;1
1759207;9002;11/02/2020;1
1759207;9002;12/02/2020;1
1759207;9002;13/02/2020;1
1759207;9002;14/02/2020;1
1759207;9002;15/02/2020;1
1759207;9002;16/02/2020;1
1759207;9002;17/02/2020;1
1759207;9002;18/02/2020;1
1759207;9002;19/02/2020;1
1759207;9002;20/02/2020;1
1759207;9002;21/02/2020;1
1759207;9002;22/02/2020;1
1759207;9002;23/02/2020;1
1759207;9002;24/02/2020;1
1759207;9002;25/02/2020;1
1759207;9002;26/02/2020;1
1759207;9002;27/02/2020;1
1759207;9002;28/02/2020;1
1759207;9002;29/02/2020;1
1759207;9002;01/03/2020;1
1759207;9002;02/03/2020;1
1759207;9002;03/03/2020;1
1759207;9002;04/03/2020;1
1759207;9002;05/03/2020;1
1759207;9002;06/03/2020;1
1701145;9001;17/02/2020;1
1701145;9001;18/02/2020;1
1701145;9006;20/02/2020;1
1701145;9001;22/02/2020;1
1705858;9000;07/02/2020;1
1705858;9000;08/02/2020;1
1705858;9000;09/02/2020;1
1705858;9000;10/02/2020;1
1705858;9000;11/02/2020;1
1705858;9000;12/02/2020;1
1705858;9000;13/02/2020;1
1705858;9000;14/02/2020;1
1705858;9000;15/02/2020;1
1705858;9000;16/02/2020;1
1705858;9000;17/02/2020;1
1705858;9000;18/02/2020;1
1705858;9000;19/02/2020;1
1705858;9000;20/02/2020;1
1705858;9000;21/02/2020;1
1705858;9000;22/02/2020;1
1705858;9000;23/02/2020;1
1710776;9000;17/02/2020;1
1710776;9000;18/02/2020;1
1710776;9000;19/02/2020;1
1710776;9000;20/02/2020;1
1710776;9000;21/02/2020;1
1710776;9000;22/02/2020;1
1710776;9000;23/02/2020;1
1710776;9000;24/02/2020;1
1710776;9000;25/02/2020;1
1710776;9000;26/02/2020;1
1710776;9000;27/02/2020;1
1710776;9000;28/02/2020;1
1710776;9000;29/02/2020;1
1637055;9000;10/02/2020;1
1637055;9000;11/02/2020;1
1637055;9000;12/02/2020;1
1637055;9000;13/02/2020;1
1637055;9000;14/02/2020;1
1637055;9000;15/02/2020;1
1637055;9000;16/02/2020;1
1637055;9000;17/02/2020;1
1637055;9000;18/02/2020;1
1637055;9000;19/02/2020;1
1637055;9000;20/02/2020;1
1637055;9000;21/02/2020;1
1637055;9000;22/02/2020;1
1637055;9000;23/02/2020;1
1651961;9000;02/03/2020;1
1651961;9000;03/03/2020;1
1651961;9000;04/03/2020;1
1651961;9000;05/03/2020;1
1651961;9000;06/03/2020;1
1688378;9000;07/02/2020;1
1688378;9000;08/02/2020;1
1688378;9000;09/02/2020;1
1688378;9000;10/02/2020;1
1688378;9000;11/02/2020;1
1688378;9000;12/02/2020;1
1688378;9000;13/02/2020;1
1688378;9000;14/02/2020;1
1688378;9000;15/02/2020;1
1688378;9000;16/02/2020;1
1688378;9000;17/02/2020;1
1688378;9000;18/02/2020;1
1688378;9000;19/02/2020;1
1688378;9000;20/02/2020;1
1688378;9000;21/02/2020;1
1688378;9000;22/02/2020;1
1688378;9000;23/02/2020;1
1698392;9000;07/02/2020;1
1698392;9000;08/02/2020;1
1698392;9000;09/02/2020;1
1698392;9000;10/02/2020;1
1698392;9000;11/02/2020;1
1698392;9000;12/02/2020;1
1698392;9000;13/02/2020;1
1698392;9000;14/02/2020;1
1698392;9000;15/02/2020;1
1698392;9000;16/02/2020;1
1698392;9006;17/02/2020;1
1698392;9006;18/02/2020;1
1698392;9006;19/02/2020;1
1698392;9006;20/02/2020;1
1698392;9006;21/02/2020;1
1698392;9006;22/02/2020;1
1698392;9006;23/02/2020;1
1698392;9006;26/02/2020;1
1698392;9006;27/02/2020;1
1698392;9007;04/03/2020;1
1691927;9003;10/02/2020;1
1691927;9010;11/02/2020;1
1691927;9010;12/02/2020;1
1640389;9000;02/03/2020;1
1640389;9000;03/03/2020;1
1640389;9000;04/03/2020;1
1640389;9000;05/03/2020;1
1640389;9000;06/03/2020;1
1700198;9000;10/02/2020;1
1700198;9000;11/02/2020;1
1700198;9000;12/02/2020;1
1700198;9000;13/02/2020;1
1700198;9000;14/02/2020;1
1700198;9000;15/02/2020;1
1700198;9000;16/02/2020;1
1700198;9000;17/02/2020;1
1700198;9000;18/02/2020;1
1700198;9000;19/02/2020;1
1700198;9000;20/02/2020;1
1700198;9000;21/02/2020;1
1700198;9000;22/02/2020;1
1700198;9000;23/02/2020;1
1696564;9001;20/02/2020;1
1696564;9001;21/02/2020;1
1696564;9000;02/03/2020;1
1696564;9000;03/03/2020;1
1696564;9000;04/03/2020;1
1696564;9000;05/03/2020;1
1696564;9000;06/03/2020;1
1659825;9000;17/02/2020;1
1659825;9000;18/02/2020;1
1659825;9000;19/02/2020;1
1659825;9000;20/02/2020;1
1659825;9000;21/02/2020;1
1659825;9000;22/02/2020;1
1659825;9000;23/02/2020;1
1659825;9000;24/02/2020;1
1659825;9000;25/02/2020;1
1659825;9000;26/02/2020;1
1659825;9000;27/02/2020;1
1659825;9000;28/02/2020;1
1659825;9000;29/02/2020;1
1659825;9000;01/03/2020;1
1659825;9000;02/03/2020;1
1659825;9000;03/03/2020;1
1659825;9000;04/03/2020;1
1659825;9000;05/03/2020;1
1659825;9000;06/03/2020;1
1698415;9000;07/02/2020;1
1698415;9000;08/02/2020;1
1698415;9000;09/02/2020;1
1698415;9000;10/02/2020;1
1698415;9000;11/02/2020;1
1698415;9000;12/02/2020;1
1698415;9000;13/02/2020;1
1698415;9000;14/02/2020;1
1698415;9000;15/02/2020;1
1698415;9000;16/02/2020;1
1742601;9001;07/02/2020;1
1742601;9001;08/02/2020;1
1742601;9001;09/02/2020;1
1742601;9001;10/02/2020;1
1742601;9001;11/02/2020;1
